year,run_number,time_idx,RMSE,ME,RMSE_GP,ME_GP
2009,1,32,5.474359894,1.970227846,6.417544302,3.8178126
2009,2,32,5.195766344,1.935480259,5.818263345,3.378275195
2010,1,32,6.27987839,3.894702325,5.972527761,3.433931268
2010,2,32,6.112298657,3.698345254,5.629452875,2.855941672
2011,1,32,5.82863738,-0.537536217,5.537823411,-1.543158558
2011,2,32,5.698072471,-0.860723856,5.358811401,-1.338870552
2012,1,32,6.404014632,1.964525136,5.751778222,1.989180708
2012,2,32,6.332925379,2.015154405,5.689357887,2.137884642
2013,1,32,5.064781464,-0.093290806,5.446790588,-0.878500592
2013,2,32,5.238134839,0.05080331,5.636423357,-1.428997597
2014,1,32,6.223097436,2.765423972,5.513025375,1.66227905
2014,2,32,6.024944799,2.205001491,5.480814145,1.586624136
2015,1,32,6.221306602,3.382367222,5.498690491,2.511163499
2015,2,32,6.359089648,3.67381355,5.372616379,2.358593574
Average,,,5.88980771,1.861735278,5.651708539,1.467297075
