year,run_number,time_idx,RMSE,ME
2009,1,32,4.828808111914034,0.7919881290440817
2009,2,32,4.982427592475719,1.4144263298929287
2009,3,32,4.946309380343474,1.1351475370103035
2010,1,32,5.223842872797938,1.5855593416752563
2010,2,32,5.464139491418875,2.1909370187178494
2010,3,32,5.3993024153354945,2.219407862417501
2011,1,32,5.245925127314998,-0.45137026477011905
2011,2,32,5.207619723651837,-0.34031416291643857
2011,3,32,5.154810838110889,-0.42478566989777194
2012,1,32,6.502783185763919,0.7720152697829111
2012,2,32,6.650133578112455,1.0028072609511796
2012,3,32,6.732835382426526,0.7940535718519555
2013,1,32,5.560354182832009,0.2209850371456277
2013,2,32,5.540804471970977,0.3429273139629181
2013,3,32,5.548352718963276,0.2480205305646313
2014,1,32,5.4062703204276925,-0.1159796386595197
2014,2,32,5.365363200313973,-0.04616350747956599
2014,3,32,5.276770204657399,-0.037482613011410364
2015,1,32,6.024382288096455,3.2083629675176795
2015,2,32,5.904923520496584,3.0133025475162714
2015,3,32,5.8320653498566415,3.007726281139547
